population,index1,index2,indexCDE,indexC,indexD,indexE,ingexF,alco,inv2,roz1,salary,tax,import2,unemp1,unemp2,forecast
646.1,107.3,109.9,110.4,114.5,111,95.7,98.6,1048.1,114.8,60033.4,54935.5,22108.6,122.5,11.9,3.2,18728828200.00
641.1,108.6,105.3,99.4,107.6,93.9,86.8,86.8,546.4,125.5,69919.60,60180.00,34792.00,147.1,8.7,2.4,21366051700.00
638.3,104.6,106.1,102,102.6,97.1,117.7,94.4,1132.7,106.5,78438.80,67080.10,29374.00,93.1,7.1,2.1,24491384360.00
635.7,106.7,106.5,93.3,101.6,83.2,88.3,107.6,486.3,82.2,86819.80,72633.20,12222.30,75.3,6.4,1.9,25171632200
633.5,107.5,110.9,101.7,100.3,103.2,104.2,98.1,652.1,92.9,97333.10,74523.90,10210.00,88.4,6.3,1.9,25532336100.00
631.2,114.4,112.3,99.7,99.2,99.2,103.3,98.7,344.7,90.6,103880.90,75642.50,17300.00,70.9,7.3,2.2,26184879800.00
628.5,106.5,104.3,102.7,103,103.4,99,90.6,360.5,97.3,107326.00,76762.80,23778.00,187.9,7.4,2.3,29380712000
624.8,103.4,102.8,103,103,102,106.5,91,100.2,110.8,112645.00,80426.10,23660.00,133.5,6.5,2,32816064100.00
620.3,103,104.3,102.9,100.8,107.6,97.4,101.1,114.5,95.8,121317.80,90725.00,39800.0,79.7,6.2,2,38349438604.73
616.2,104.7,104,101.4,98.5,107,100,100.1,100,100,130000.00,95400.00,40000.0,95,6.5,2.1,49506015400.00